,dataset,isClassification,k,method,accuracy,precision,recall,RMSE
0,segmentation,True,7,KNN,0.6687898088557636,0.6687898087021786,0.2517985612701206,0
1,segmentation,True,7,E-NN,0.3949044586369775,0.3949044587326058,0.09810126594996797,0
2,segmentation,True,11,KNN,0.6687898088557636,0.6687898087021786,0.2517985612701206,0
3,segmentation,True,11,E-NN,0.4458598726311702,0.44585987268043326,0.11824324337221512,0
4,segmentation,True,13,KNN,0.6624203821064895,0.6624203819587001,0.2464454977504998,0
5,segmentation,True,13,E-NN,0.5159235668731852,0.5159235668586961,0.15083798895685738,0
